Id;Label
oriel college oxford;oriel college oxford
esterel technologies;esterel technologies
sra international;sra international
softech inc;softech inc
disney research;disney research
university of verona;university of verona
zhejiang university;zhejiang university
state university of new york at new paltz;state university of new york at new paltz
university of toronto;university of toronto
cma cgm;cma cgm
ericsson;ericsson
colorado state university;colorado state university
haverford college;haverford college
koc university;koc university
university of manchester;university of manchester
university of palermo;university of palermo
university of wisconsin madison;university of wisconsin madison
university of wyoming;university of wyoming
florida institute of technology;florida institute of technology
college of the atlantic;college of the atlantic
university of kentucky;university of kentucky
keele university;keele university
technical university of kenya;technical university of kenya
georgia southwestern state university;georgia southwestern state university
university of california santa barbara;university of california santa barbara
mcgill university school of computer science;mcgill university school of computer science
harvard smithsonian center for astrophysics;harvard smithsonian center for astrophysics
daimler ag;daimler ag
school of electronics and computer science university of southampton;school of electronics and computer science university of southampton
rutherford appleton laboratory;rutherford appleton laboratory
cisco systems inc;cisco systems inc
university of edinburgh;university of edinburgh
university of south florida;university of south florida
university of wroclaw;university of wroclaw
mit lincoln laboratory;mit lincoln laboratory
university of melbourne;university of melbourne
state university of campinas;state university of campinas
washington state university;washington state university
steel authority of india;steel authority of india
mathworks;mathworks
university of zaragoza;university of zaragoza
blaise pascal university;blaise pascal university
university of ulm;university of ulm
southeast university;southeast university
university of tennessee at chattanooga;university of tennessee at chattanooga
portland state university;portland state university
universidade nova de lisboa;universidade nova de lisboa
ludwig maximilian university of munich;ludwig maximilian university of munich
kaiserslautern university of technology;kaiserslautern university of technology
university of caen lower normandy;university of caen lower normandy
honeywell;honeywell
queensland university of technology;queensland university of technology
stanford university;stanford university
commonwealth scientific and industrial research organisation;commonwealth scientific and industrial research organisation
technische hochschule;technische hochschule
university of rennes;university of rennes
chiba university of commerce;chiba university of commerce
university of central florida;university of central florida
oberlin college;oberlin college
cray;cray
national institutes of health;national institutes of health
upc ireland;upc ireland
university of turku;university of turku
university of northern british columbia;university of northern british columbia
salisbury university;salisbury university
city university of hong kong;city university of hong kong
bosch;bosch
university of queensland;university of queensland
computer laboratory university of cambridge;computer laboratory university of cambridge
north dakota state university;north dakota state university
university of california irvine;university of california irvine
imdea;imdea
santa clara university;santa clara university
microunity;microunity
