Id;Label
jet propulsion laboratory;jet propulsion laboratory
de montfort university;de montfort university
sofia university;sofia university
international monetary fund;international monetary fund
ibm;ibm
hong kong university of science and technology;hong kong university of science and technology
ntt docomo;ntt docomo
university of new mexico;university of new mexico
royal institute of technology;royal institute of technology
university of texas at austin;university of texas at austin
university of erlangen nuremberg;university of erlangen nuremberg
polytechnic university of milan;polytechnic university of milan
university of bologna;university of bologna
university of potsdam;university of potsdam
airbus;airbus
boise state university;boise state university
university of alabama at birmingham;university of alabama at birmingham
polytechnic university of turin;polytechnic university of turin
lawrence berkeley national laboratory;lawrence berkeley national laboratory
drexel university;drexel university
australian national university;australian national university
united states naval research laboratory;united states naval research laboratory
university of miami;university of miami
hitachi;hitachi
naval postgraduate school;naval postgraduate school
at t;at t
college of western idaho;college of western idaho
university of warwick;university of warwick
brics;brics
university of munster;university of munster
delft university of technology;delft university of technology
university of murcia;university of murcia
northeastern university;northeastern university
yale university;yale university
kookmin university;kookmin university
university of pennsylvania;university of pennsylvania
orange s a;orange s a
national tsing hua university;national tsing hua university
university of luxembourg;university of luxembourg
dublin city university;dublin city university
new york university;new york university
ruhr university bochum;ruhr university bochum
keldysh institute of applied mathematics;keldysh institute of applied mathematics
south university;south university
rwth aachen university;rwth aachen university
university of nottingham;university of nottingham
tohoku university;tohoku university
trw inc;trw inc
instituto nacional de matematica pura e aplicada;instituto nacional de matematica pura e aplicada
indian institute of technology kharagpur;indian institute of technology kharagpur
queen s university belfast;queen s university belfast
academia sinica;academia sinica
ecole normale superieure;ecole normale superieure
texas a m university;texas a m university
boeing commercial airplanes;boeing commercial airplanes
paris diderot university;paris diderot university
citigroup;citigroup
ecole normale superieure de lyon;ecole normale superieure de lyon
durham university;durham university
pacific northwest national laboratory;pacific northwest national laboratory
imec;imec
thayer school of engineering;thayer school of engineering
moscow state university;moscow state university
helsinki university of technology;helsinki university of technology
esterel technologies;esterel technologies
sra international;sra international
softech inc;softech inc
disney research;disney research
zhejiang university;zhejiang university
state university of new york at new paltz;state university of new york at new paltz
university of toronto;university of toronto
cma cgm;cma cgm
ericsson;ericsson
colorado state university;colorado state university
koc university;koc university
university of manchester;university of manchester
university of wisconsin madison;university of wisconsin madison
university of wyoming;university of wyoming
florida institute of technology;florida institute of technology
college of the atlantic;college of the atlantic
keele university;keele university
university of kentucky;university of kentucky
technical university of kenya;technical university of kenya
university of california santa barbara;university of california santa barbara
mcgill university school of computer science;mcgill university school of computer science
harvard smithsonian center for astrophysics;harvard smithsonian center for astrophysics
daimler ag;daimler ag
school of electronics and computer science university of southampton;school of electronics and computer science university of southampton
rutherford appleton laboratory;rutherford appleton laboratory
cisco systems inc;cisco systems inc
university of edinburgh;university of edinburgh
university of south florida;university of south florida
university of wroclaw;university of wroclaw
mit lincoln laboratory;mit lincoln laboratory
university of melbourne;university of melbourne
state university of campinas;state university of campinas
washington state university;washington state university
steel authority of india;steel authority of india
mathworks;mathworks
university of zaragoza;university of zaragoza
university of tennessee at chattanooga;university of tennessee at chattanooga
university of ulm;university of ulm
southeast university;southeast university
portland state university;portland state university
ludwig maximilian university of munich;ludwig maximilian university of munich
universidade nova de lisboa;universidade nova de lisboa
kaiserslautern university of technology;kaiserslautern university of technology
university of caen lower normandy;university of caen lower normandy
honeywell;honeywell
queensland university of technology;queensland university of technology
stanford university;stanford university
university of rennes;university of rennes
technische hochschule;technische hochschule
university of central florida;university of central florida
oberlin college;oberlin college
cray;cray
national institutes of health;national institutes of health
upc ireland;upc ireland
university of northern british columbia;university of northern british columbia
university of turku;university of turku
city university of hong kong;city university of hong kong
bosch;bosch
university of queensland;university of queensland
computer laboratory university of cambridge;computer laboratory university of cambridge
north dakota state university;north dakota state university
university of california irvine;university of california irvine
imdea;imdea
santa clara university;santa clara university
microunity;microunity
center for information technology;center for information technology
it university of copenhagen;it university of copenhagen
university of birmingham;university of birmingham
xi an jiaotong university;xi an jiaotong university
university of portland;university of portland
carnegie mellon university;carnegie mellon university
lawrence livermore national laboratory;lawrence livermore national laboratory
brown university;brown university
university of kansas;university of kansas
school of computer science university of manchester;school of computer science university of manchester
northeastern university college of computer and information science;northeastern university college of computer and information science
centaur technology;centaur technology
university of lugano;university of lugano
kyushu university;kyushu university
kyoto sangyo university;kyoto sangyo university
university of louisiana at lafayette;university of louisiana at lafayette
peking university;peking university
lahore university of management sciences;lahore university of management sciences
seton hall university;seton hall university
queen mary university of london;queen mary university of london
samsung;samsung
williams college;williams college
ain shams university;ain shams university
oregon state university;oregon state university
university of southern california;university of southern california
parc;parc
the aerospace corporation;the aerospace corporation
united states military academy;united states military academy
university of texas at san antonio;university of texas at san antonio
sybase;sybase
university of jena;university of jena
yonsei university;yonsei university
saarland university;saarland university
university of beira interior;university of beira interior
university of science and technology of china;university of science and technology of china
sandia national laboratories;sandia national laboratories
universite de namur;universite de namur
university of cyprus;university of cyprus
canisius college;canisius college
national technical university of athens;national technical university of athens
information technology university;information technology university
university of south africa;university of south africa
hewlett packard;hewlett packard
dso national laboratories;dso national laboratories
uganda revenue authority;uganda revenue authority
depaul university;depaul university
national presto industries;national presto industries
victoria university australia;victoria university australia
technical university of madrid;technical university of madrid
university of naples federico ii;university of naples federico ii
aalborg university;aalborg university
information sciences institute;information sciences institute
sao paulo state university;sao paulo state university
digital management inc;digital management inc
swinburne university of technology;swinburne university of technology
college of william mary;college of william mary
xerox;xerox
institute of science and technology austria;institute of science and technology austria
duke university;duke university
national chiao tung university;national chiao tung university
university of st andrews;university of st andrews
red hat;red hat
university of iowa;university of iowa
texas instruments;texas instruments
oregon health science university;oregon health science university
university of saskatchewan;university of saskatchewan
national institute of informatics;national institute of informatics
cornell university;cornell university
citrix systems;citrix systems
bucknell university;bucknell university
siemens;siemens
instituto politecnico nacional;instituto politecnico nacional
university of illinois at chicago;university of illinois at chicago
islamic azad university south tehran branch;islamic azad university south tehran branch
technical university of denmark;technical university of denmark
illinois institute of technology;illinois institute of technology
ecole polytechnique federale de lausanne;ecole polytechnique federale de lausanne
university of bristol;university of bristol
eaton corporation;eaton corporation
university of north georgia;university of north georgia
tampere university of technology;tampere university of technology
university of mainz;university of mainz
french institute for research in computer science and automation;french institute for research in computer science and automation
california institute of technology;california institute of technology
king s college london;king s college london
abo akademi university;abo akademi university
joseph fourier university;joseph fourier university
university of helsinki;university of helsinki
new york state department of environmental conservation;new york state department of environmental conservation
new mexico state university;new mexico state university
shanghai jiao tong university;shanghai jiao tong university
at t information systems;at t information systems
rutgers university;rutgers university
malardalen university college;malardalen university college
vassar college;vassar college
general electric;general electric
technical university of berlin;technical university of berlin
st john s college cambridge;st john s college cambridge
saint petersburg state university;saint petersburg state university
saint louis university;saint louis university
rochester institute of technology;rochester institute of technology
university of buenos aires;university of buenos aires
linkoping university;linkoping university
ulster university;ulster university
mit sloan school of management;mit sloan school of management
brno university of technology;brno university of technology
lucid inc;lucid inc
university of southern denmark;university of southern denmark
artificial intelligence center;artificial intelligence center
polytechnic university of valencia;polytechnic university of valencia
stellenbosch university;stellenbosch university
harvard university;harvard university
national and kapodistrian university of athens;national and kapodistrian university of athens
university of washington;university of washington
university of western ontario;university of western ontario
university at albany suny;university at albany suny
michigan technological university;michigan technological university
university of electro communications;university of electro communications
burlington coat factory;burlington coat factory
tilburg university;tilburg university
university of liege;university of liege
university of york;university of york
