Id;Label
technion israel institute of technology;technion israel institute of technology
indian institute of technology guwahati;indian institute of technology guwahati
charles university in prague;charles university in prague
university of tartu;university of tartu
american society of cinematographers;american society of cinematographers
university of california los angeles;university of california los angeles
mozilla corporation;mozilla corporation
international association of machinists and aerospace workers;international association of machinists and aerospace workers
computer resources international;computer resources international
midwestern state university;midwestern state university
australian national university;australian national university
university of copenhagen;university of copenhagen
fudan university;fudan university
royal dutch shell;royal dutch shell
university of santiago de compostela;university of santiago de compostela
technische universitat darmstadt;technische universitat darmstadt
merton college oxford;merton college oxford
information sciences institute;information sciences institute
lewis clark college;lewis clark college
boeing commercial airplanes;boeing commercial airplanes
computer laboratory university of cambridge;computer laboratory university of cambridge
eindhoven university of technology;eindhoven university of technology
university of san francisco;university of san francisco
metropolitan state university of denver;metropolitan state university of denver
advanced micro devices;advanced micro devices
university of hong kong;university of hong kong
supelec;supelec
fukuoka institute of technology;fukuoka institute of technology
national university of ireland galway;national university of ireland galway
university of nottingham;university of nottingham
otto von guericke university magdeburg;otto von guericke university magdeburg
universite de montreal;universite de montreal
university of mons;university of mons
linkoping university;linkoping university
williams college;williams college
courant institute of mathematical sciences;courant institute of mathematical sciences
general dynamics;general dynamics
university of southern california;university of southern california
hebrew university of jerusalem;hebrew university of jerusalem
st lawrence university;st lawrence university
university of turku;university of turku
south texas college;south texas college
university of maine at augusta;university of maine at augusta
university of peloponnese;university of peloponnese
queen mary university of london;queen mary university of london
university of engineering and technology lahore;university of engineering and technology lahore
national technical university of athens;national technical university of athens
lucid inc;lucid inc
institute for system programming;institute for system programming
university of queensland;university of queensland
university of reading;university of reading
technical university of crete;technical university of crete
auburn university;auburn university
national scientific and technical research council;national scientific and technical research council
cairo university;cairo university
university of south africa;university of south africa
lawrence technological university;lawrence technological university
university of wisconsin eau claire;university of wisconsin eau claire
german research centre for artificial intelligence;german research centre for artificial intelligence
waseda university;waseda university
university of bergen;university of bergen
martin luther university of halle wittenberg;martin luther university of halle wittenberg
anna university;anna university
delgado community college;delgado community college
helsinki university of technology;helsinki university of technology
pepperdine university;pepperdine university
university of southern maine;university of southern maine
itt technical institute;itt technical institute
university of ulm;university of ulm
university of georgia;university of georgia
university of bern;university of bern
royal military college of canada;royal military college of canada
university of tasmania;university of tasmania
carleton university;carleton university
university of bonn;university of bonn
queens college;queens college
vmware;vmware
brandeis university;brandeis university
university of tubingen;university of tubingen
california state university san bernardino;california state university san bernardino
texas instruments;texas instruments
universidade do vale do rio dos sinos;universidade do vale do rio dos sinos
quinnipiac university;quinnipiac university
university of new south wales;university of new south wales
singapore mit alliance;singapore mit alliance
united states naval research laboratory;united states naval research laboratory
softech inc;softech inc
universite libre de bruxelles;universite libre de bruxelles
national research council;national research council
city university of hong kong;city university of hong kong
university of helsinki;university of helsinki
university of kentucky;university of kentucky
koc university;koc university
amherst college;amherst college
sandia national laboratories;sandia national laboratories
loyola university chicago;loyola university chicago
colorado school of mines;colorado school of mines
rwth aachen university;rwth aachen university
university of california davis;university of california davis
university of central florida;university of central florida
singapore management university;singapore management university
university of north dakota;university of north dakota
ochanomizu university;ochanomizu university
university of wyoming;university of wyoming
monterrey institute of technology and higher education guadalajara;monterrey institute of technology and higher education guadalajara
credit suisse;credit suisse
twitter;twitter
universidade federal de ouro preto;universidade federal de ouro preto
chalmers university of technology;chalmers university of technology
brno university of technology;brno university of technology
missouri state university;missouri state university
robotics institute;robotics institute
iminds;iminds
school of computer science university of manchester;school of computer science university of manchester
aalto university school of business;aalto university school of business
university of north carolina at chapel hill;university of north carolina at chapel hill
ecole polytechnique federale de lausanne;ecole polytechnique federale de lausanne
