Id;Label
indian institute of technology kanpur;indian institute of technology kanpur
rice university;rice university
simon fraser university;simon fraser university
science applications international corporation;science applications international corporation
university of newcastle;university of newcastle
universite de montreal;universite de montreal
university of south australia;university of south australia
seattle university;seattle university
masaryk university;masaryk university
boston university;boston university
university of kent;university of kent
cambridge technology partners;cambridge technology partners
rutgers camden;rutgers camden
norwegian computing center;norwegian computing center
victoria university of wellington;victoria university of wellington
georgia institute of technology;georgia institute of technology
university of orleans;university of orleans
mcmaster university;mcmaster university
university of london;university of london
complutense university of madrid;complutense university of madrid
state university of new york system;state university of new york system
tel aviv university;tel aviv university
national autonomous university of mexico;national autonomous university of mexico
institute for quantum optics and quantum information;institute for quantum optics and quantum information
university of trento;university of trento
goethe university frankfurt;goethe university frankfurt
griffith university;griffith university
university of franche comte;university of franche comte
chalmers university of technology;chalmers university of technology
harvard medical school;harvard medical school
turku centre for computer science;turku centre for computer science
tsinghua university;tsinghua university
university of bremen;university of bremen
oxford brookes university;oxford brookes university
lehigh university;lehigh university
alexandru ioan cuza university;alexandru ioan cuza university
carnegie institute of technology;carnegie institute of technology
johns hopkins university;johns hopkins university
university of parma;university of parma
katholieke universiteit leuven;katholieke universiteit leuven
university of oslo;university of oslo
university of nebraska lincoln;university of nebraska lincoln
motorola;motorola
ghent university;ghent university
university of udine;university of udine
national taiwan university;national taiwan university
university of oregon;university of oregon
vanderbilt university;vanderbilt university
japan advanced institute of science and technology;japan advanced institute of science and technology
eth zurich;eth zurich
fujitsu;fujitsu
university of illinois at urbana champaign;university of illinois at urbana champaign
virginia tech;virginia tech
dalhousie university;dalhousie university
autonomous university of madrid;autonomous university of madrid
national dong hwa university;national dong hwa university
universidade federal do rio grande do sul;universidade federal do rio grande do sul
university of east anglia;university of east anglia
graz university of technology;graz university of technology
university college dublin;university college dublin
imperial college london;imperial college london
cesnet;cesnet
fleet numerical meteorology and oceanography center;fleet numerical meteorology and oceanography center
at t labs;at t labs
analog devices;analog devices
agere systems;agere systems
university of warsaw;university of warsaw
ecole normale superieure de cachan;ecole normale superieure de cachan
mitre corporation;mitre corporation
university of milan;university of milan
universite du quebec a chicoutimi;universite du quebec a chicoutimi
superior national school of advanced techniques;superior national school of advanced techniques
university of copenhagen;university of copenhagen
swarthmore college;swarthmore college
stockholm university;stockholm university
university of neuchâtel;university of neuchâtel
yahoo;yahoo
city college of new york;city college of new york
university of mannheim;university of mannheim
avaya;avaya
university of gothenburg;university of gothenburg
florida state university;florida state university
university of sheffield;university of sheffield
nanyang technological university;nanyang technological university
interdisciplinary center herzliya;interdisciplinary center herzliya
swansea university;swansea university
university of dusseldorf;university of dusseldorf
university of north carolina at chapel hill;university of north carolina at chapel hill
indian institute of technology bombay;indian institute of technology bombay
university of groningen;university of groningen
evans sutherland;evans sutherland
university of technology sydney;university of technology sydney
columbia university;columbia university
university of tsukuba;university of tsukuba
george mason university;george mason university
university of crete;university of crete
university of trier;university of trier
national institute of education;national institute of education
university of los andes;university of los andes
technion israel institute of technology;technion israel institute of technology
queen s university;queen s university
swedish institute of computer science;swedish institute of computer science
augsburg college;augsburg college
university of hamburg;university of hamburg
nanjing university;nanjing university
university of colorado boulder;university of colorado boulder
indian institute of science;indian institute of science
open university of catalonia;open university of catalonia
monroe community college;monroe community college
university of western macedonia;university of western macedonia
clemson university;clemson university
