Source;Target;Weight
university of southern california;university of london;0.0167647058824
national university of singapore;johns hopkins university;0.260927913559
national university of singapore;university of edinburgh;0.653936057369
national university of singapore;university of london;0.005
university of pennsylvania;university of southern california;0.397203907204
microsoft;johns hopkins university;0.920595284934
johns hopkins university;university of southern california;1.09412945616
johns hopkins university;national university of singapore;0.113871082621
hebrew university of jerusalem;university of texas at austin;0.0495758218452
columbia university;university of texas at austin;0.0656213704994
hebrew university of jerusalem;university of massachusetts amherst;0.00609756097561
massachusetts institute of technology;university of massachusetts amherst;0.0827437761955
columbia university;university of massachusetts amherst;0.35431184669
athens university of economics and business;university of illinois at chicago;0.0576923076923
athens university of economics and business;valparaiso university;0.0576923076923
university of edinburgh;ibm;0.870023071092
polytechnic university of valencia;ibm;0.0694444444444
university of north texas;carnegie mellon university;0.123015873016
brown university;max planck society;0.0625
university of rochester;national institute of information and communications technology;0.0526315789474
max planck society;stanford university;0.0915071770335
university of tokyo;university of tokyo;1.45307513771
google;university of pennsylvania;0.790425443133
university of west bohemia;university of west bohemia;0.0125
university of essex;university of west bohemia;0.0375
university of washington;harbin institute of technology;0.00595238095238
university of washington;shanghai jiao tong university;0.0382104454685
university of tokyo;ibm;0.597996206692
university of tokyo;cornell university;0.163622475848
lund university;lund university;0.320967741935
university of washington;aston university;0.047619047619
university of amsterdam;sri international;0.0481792717087
university of pennsylvania;microsoft;0.73258954009
university of illinois at chicago;ibm;0.0867359229148
university of illinois at chicago;cornell university;0.0537112315568
northwestern university;ibm;0.0246913580247
northwestern university;cornell university;0.0586419753086
katholieke universiteit leuven;korea university;0.0384615384615
microsoft;rwth aachen university;0.837203076504
microsoft;information sciences institute;0.570914932768
university of maryland college park;information sciences institute;0.262217048527
rwth aachen university;kyoto university;0.0625
university of maryland college park;university of toronto;0.19971116271
university of maryland college park;university of maryland college park;1.85713337998
hong kong university of science and technology;johns hopkins university;0.118421052632
hong kong university of science and technology;university of cambridge;0.0131578947368
hong kong university of science and technology;kyoto university;0.0526315789474
city university of hong kong;ibm;0.0384615384615
ibm;university of sheffield;0.0558922558923
cornell university;university of sheffield;0.0222222222222
carnegie mellon university;university of illinois at chicago;0.0988235294118
university of texas at dallas;kaist;0.0416666666667
university of stuttgart;bar ilan university;0.03125
university of leeds;bar ilan university;0.04375
brown university;ibm;0.400432900433
soochow university;soochow university;0.249089105339
soochow university;university of antwerp;0.0909090909091
heidelberg university;mitre corporation;0.04
university of california santa cruz;cornell university;0.03125
carnegie mellon university;cornell university;0.12246989122
university of california santa cruz;language technologies institute;0.0625
carnegie mellon university;language technologies institute;0.527589948128
university of texas at austin;universite de montreal;0.025641025641
university of texas at austin;university of illinois at urbana champaign;0.0128205128205
agency for science technology and research;university of pennsylvania;0.125883053117
agency for science technology and research;bbn technologies;0.0128205128205
