KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type
ssdbm,SSDBM,databases,data mining,conference
stacs,STACS,theory,"algorithms, verification",conference
stoc,STOC,theory,algorithms,conference
sysose,SOSE,systems,,conference
taas,TAAS,systems,,journal
taccess,TACCESS,other,,journal
taco,TACO,programming languages,"architecture, systems",journal
talg,TALG,algorithms,theory,journal
talip,TALIP,,,journal
tap,TAP,vision,artificial intelligence,journal
tc,TC,other,,journal
tcbb,TCBB,bioinformatics,,journal
tcc,TCC,theory,cryptography,conference
tdsc,TDSC,systems,,journal
tecs,TECS,embedded & realtime,,journal
tissec,TISSEC,security,systems,journal
titb,TITB,other,,journal
tkdd,TKDD,data mining,artificial intellegence,journal
tkde,TKDE,data mining,artificial intellegence,journal
tmc,TMC,mobile,systems,journal
tmm,TMM,multimedia,,journal
tochi,TOCHI,human computer interaction,,journal
tocl,TOCL,theory,,journal
tocs,TOCS,systems,,journal
toct,TOCT,theory,,journal
todaes,TODAES,circuits,"architecture, systems",journal
tods,TODS,databases,,journal
tog,TOG,graphics,,journal
tois,TOIS,systems,,journal
toit,TOIT,systems,,journal
tomacs,TOMACS,theory,performance analysis,journal
tomccap,TOMCCAP,multimedia,,journal
toms,TOMS,theory,,journal
ton,TON,networks,systems,journal
toplas,TOPLAS,programming languages,systems,journal
tos,TOS,systems,,journal
tosem,TOSEM,software engineering,,journal
tosn,TOSN,networks,systems,journal
tpds,TPDS,distributed systems,,journal
trets,TRETS,systems,,journal
tse,TSE,software engineering,,journal
tslp,TSLP,natural language processing,,journal
tvcg,TVCG,graphics,,journal
tvlsi,VLSI,circuits,"architecture, systems",journal
tweb,TWEB,web technologies,,journal
uai,UAI,artificial intelligence,,conference
ubicomp,UBICOMP,human computer interaction,,conference
uist,UIST,human computer interaction,,conference
usenix,USENIX ATC,systems,operating systems,conference
uss,USENIX Security,systems,security,conference
vee,VEE,systems,"operating systems, programming languages",conference
vldb,VLDB,databases,,journal
vr,VR,artificial intelligence,vision,conference
wads,WADS,theory,algorithms,conference
wcci,WCCI,artificial intelligence,,conference
wimob,WiMOB,systems,"networks,mobile",conference
wowmom,WoWMoM,systems,"networks,mobile",conference
wsdm,WSDM,artificial intelligence,"databases, data mining",conference
www,WWW,web technologies,information retrieval,conference
