KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
emsoft,EMSOFT,systems,embedded & real time,conference,ACM Conference on Embedded Software,https://dblp.uni-trier.de/db/conf/emsoft/,2019
er,ER,databases,,conference,International Conference on Conceptual Modelling,https://dblp.uni-trier.de/db/conf/er/,2019
esa,ESA,theory,algorithms,conference,European Symposium on Algorithms,https://dblp.uni-trier.de/db/conf/esa/,2019
esop,ESOP,systems,programming languages,conference,European Symposium on Programming,https://dblp.uni-trier.de/db/conf/esop/,2019
esorics,ESORICS,security,,conference,European Symposium on Research in Computer Security,https://dblp.uni-trier.de/db/conf/esorics/,2019
eurocrypt,EUROCRYPT,theory,cryptography,conference,International Conference on the Theory and Applications of Cryptographic Techniques,https://dblp.uni-trier.de/db/conf/eurocrypt/,2019
eurosys,Eurosys,systems,operating systems,conference,ACM Eurosys Conference,https://dblp.uni-trier.de/db/conf/eurosys/,2019
expert,EXPERT,artificial intelligence,,journal,IEEE Intelligent Systems,https://dblp.uni-trier.de/db/journals/expert/,2019
fase,FASE,software engineering,,conference,Fundamental Approaches to Software Engineering,https://dblp.uni-trier.de/db/conf/fase/,2019
fast,FAST,systems,operating systems,conference,Conference on File and Storage Technologies,https://dblp.uni-trier.de/db/conf/fast/,2019
fccm,FCCM,circuits,,conference,IEEE Symposium on Field-Programmable Custom Computing Machines,https://dblp.uni-trier.de/db/conf/fccm/,2019
fmcad,FMCAD,design automation,verification,conference,Formal Methods in Computer-Aided Design,https://dblp.uni-trier.de/db/conf/fmcad/,2019
focs,FOCS,theory,algorithms,conference,IEEE Symposium on Foundations of Computer Science,https://dblp.uni-trier.de/db/conf/focs/,2019
fse,IACR-FSE,cryptography,,conference,Fast Software Encryption,https://dblp.uni-trier.de/db/conf/fse/,2019
gecco,GECCO,other,,conference,Genetic and Evolutionary Computation,https://dblp.uni-trier.de/db/conf/gecco/,2019
gis,GIS,databases,,conference,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,https://dblp.uni-trier.de/db/conf/gis/,2019
grid,GRID,systems,"high performance computing,distributed systems",conference,IEEE/ACM International Conference on Grid Computing,https://dblp.uni-trier.de/db/conf/grid/,2019
hipc,HiPC,systems,high performance computing,conference,International Conference on High Performance Computing,https://dblp.uni-trier.de/db/conf/hipc/,2019
